Configuration,Avg_Latency_ms,Avg_CPU_%,Avg_Memory_MB,Total_Detections
Default_RGB_Only,10.026313674205008,34.41557572861921,113.56562611980411,3394
Fusion_RGB_DVS,201.14336694989885,29.89198606271777,128.2310131750871,1078
