frame,timestamp,latency_ms,cpu_percent,memory_mb,detections
72289,5.39227694645524,50.72736740112305,17.7,126.97265625,2
72290,5.442276947200298,109.92050170898438,17.8,126.97265625,8
72291,5.492276947945356,142.045259475708,17.7,126.97265625,10
72292,5.542276948690414,121.40369415283203,34.9,126.9765625,4
72293,5.5922769494354725,47.238826751708984,44.8,126.98046875,1
72294,5.6422769501805305,16.681909561157227,37.4,126.98046875,0
72295,5.692276950925589,3.0210018157958984,60.0,126.98046875,0
72296,5.742276951670647,0.9996891021728516,0.0,126.98046875,0
72297,5.792276952415705,1.506805419921875,0.0,126.98046875,0
72298,5.842276953160763,4.005670547485352,15.8,126.98046875,0
72299,5.892276953905821,4.011631011962891,13.6,126.98046875,0
72300,5.942276954650879,4.313945770263672,0.0,126.98046875,0
72301,5.992276955395937,4.519939422607422,18.3,126.98046875,0
72302,6.042276956140995,3.0012130737304688,21.0,126.98046875,0
72303,6.092276956886053,2.0165443420410156,22.7,126.98828125,0
72304,6.142276957631111,2.5103092193603516,28.4,126.98828125,0
72305,6.192276958376169,4.508495330810547,51.8,126.98828125,0
72306,6.242276959121227,3.5109519958496094,10.0,126.98828125,0
72307,6.292276959866285,2.5262832641601562,29.8,126.98828125,0
72308,6.342276960611343,1.0111331939697266,45.5,126.98828125,0
72309,6.392276961356401,1.0242462158203125,11.5,126.98828125,0
72310,6.4422769621014595,2.0036697387695312,13.9,126.98828125,0
72311,6.492276962846518,1.0001659393310547,33.0,126.98828125,0
72312,6.542276963591576,2.0017623901367188,46.8,126.98828125,0
72313,6.592276964336634,4.013538360595703,34.5,126.98828125,0
72314,6.642276965081692,5.486488342285156,24.7,126.98828125,0
72315,6.69227696582675,3.987550735473633,25.0,126.98828125,0
72316,6.742276966571808,4.001855850219727,18.8,126.98828125,0
72317,6.792276967316866,2.019166946411133,28.6,126.98828125,0
72318,6.842276968061924,3.003835678100586,29.7,126.98828125,0
72319,6.892276968806982,2.001523971557617,20.6,126.98828125,0
72320,6.94227696955204,1.9927024841308594,17.0,126.98828125,0
72321,6.992276970297098,1.9996166229248047,21.3,126.98828125,0
72322,7.042276971042156,1.909494400024414,14.1,126.98828125,0
72323,7.092276971787214,1.9671916961669922,18.7,126.98828125,0
72324,7.142276972532272,2.0599365234375,26.8,126.98828125,0
72325,7.19227697327733,1.9695758819580078,27.4,126.98828125,0
72326,7.2422769740223885,2.5746822357177734,18.1,126.98828125,0
72327,7.2922769747674465,1.5113353729248047,25.6,126.98828125,0
72328,7.342276975512505,0.0,24.3,126.98828125,0
72329,7.392276976257563,0.9860992431640625,15.9,126.9921875,0
72330,7.442276977002621,0.9086132049560547,32.0,126.9921875,0
72331,7.492276977747679,21.514892578125,20.6,126.9921875,0
72332,7.542276978492737,245.4988956451416,25.1,127.3203125,4
72333,7.592276979237795,321.5939998626709,21.4,127.02734375,5
72334,7.642276979982853,387.7391815185547,33.3,127.5078125,7
72335,7.692276980727911,589.1420841217041,30.6,127.4765625,8
72336,7.742276981472969,542.4270629882812,29.6,127.859375,10
72337,7.792276982218027,424.3190288543701,30.4,127.3984375,10
72338,7.842276982963085,239.75467681884766,16.8,127.859375,10
72339,7.892276983708143,357.58399963378906,32.4,128.3203125,8
72340,7.942276984453201,350.83937644958496,28.6,128.3203125,10
72341,7.992276985198259,320.19686698913574,27.8,128.32421875,10
72342,8.042276985943317,215.27886390686035,36.3,128.32421875,8
72343,8.092276986688375,236.18102073669434,29.9,128.32421875,5
72344,8.142276987433434,244.54593658447266,27.3,128.32421875,4
72345,8.192276988178492,207.16595649719238,28.3,128.32421875,3
72346,8.24227698892355,155.68804740905762,27.6,128.32421875,2
72347,8.292276989668608,137.30692863464355,32.2,128.32421875,2
72348,8.342276990413666,104.02226448059082,24.6,128.32421875,2
72349,8.392276991158724,82.27825164794922,30.9,128.32421875,3
72350,8.442276991903782,88.07039260864258,24.2,128.32421875,2
72351,8.49227699264884,111.70268058776855,33.1,128.32421875,4
72352,8.542276993393898,137.99214363098145,28.8,128.32421875,3
72353,8.592276994138956,209.47670936584473,26.9,128.32421875,3
72354,8.642276994884014,115.92960357666016,92.9,128.33203125,2
72355,8.692276995629072,192.305326461792,39.7,128.33203125,2
72356,8.74227699637413,170.80926895141602,38.1,128.33203125,1
72357,8.792276997119188,208.52065086364746,35.0,128.33203125,3
72358,8.842276997864246,177.31428146362305,35.9,128.33203125,4
72359,8.892276998609304,196.21920585632324,30.8,128.33203125,5
72360,8.942276999354362,167.7389144897461,27.6,128.33203125,5
72361,8.99227700009942,143.32938194274902,32.4,128.33203125,3
72362,9.042277000844479,135.9086036682129,24.6,128.33203125,1
72363,9.092277001589537,158.21099281311035,28.4,128.33203125,3
72364,9.142277002334595,151.5045166015625,35.3,128.3359375,5
72365,9.192277003079653,198.48084449768066,32.5,128.3359375,6
72366,9.24227700382471,181.46038055419922,31.1,128.3359375,5
72367,9.292277004569769,220.01099586486816,25.3,128.3359375,5
72368,9.342277005314827,223.66857528686523,31.9,128.3359375,3
72369,9.392277006059885,267.75074005126953,31.3,128.33984375,3
72370,9.442277006804943,210.052490234375,32.8,128.33984375,6
72371,9.492277007550001,233.86430740356445,34.1,128.33984375,2
72372,9.54227700829506,224.7157096862793,24.7,128.33984375,2
72373,9.592277009040117,190.6595230102539,25.5,128.34375,3
72374,9.642277009785175,178.4369945526123,32.5,128.34375,2
72375,9.692277010530233,237.9152774810791,33.0,128.34375,3
72376,9.742277011275291,196.70724868774414,28.3,128.34375,4
72377,9.79227701202035,192.04211235046387,31.1,128.34375,4
72378,9.842277012765408,215.56663513183594,27.3,128.34375,3
72379,9.892277013510466,223.14047813415527,27.9,128.34375,3
72380,9.942277014255524,273.46038818359375,27.7,128.34375,2
72381,9.992277015000582,262.85266876220703,29.1,128.34765625,4
72382,10.04227701574564,282.442569732666,30.8,128.34765625,3
72383,10.092277016490698,305.7255744934082,29.8,128.34765625,4
72384,10.142277017235756,350.8949279785156,27.2,128.34765625,4
72385,10.192277017980814,303.03955078125,25.6,128.34765625,3
72386,10.242277018725872,453.9060592651367,30.5,127.58984375,5
72387,10.29227701947093,723.9432334899902,33.5,127.78515625,4
72388,10.342277020215988,1081.3157558441162,37.6,128.5,4
