timestamp,motion_energy,num_detections
3.483552508056164,3401.0,0
3.533552508801222,2095.0,0
3.58355250954628,861.0,0
3.633552510291338,304.0,0
3.683552511036396,78.0,0
3.733552511781454,80.0,0
3.783552512526512,74.0,0
3.83355251327157,89.0,0
3.8835525140166283,80.0,0
3.9335525147616863,70.0,0
3.9835525155067444,254.0,0
4.0335525162518024,3124.0,0
4.0835525169968605,4477.0,0
4.133552517741919,5593.0,0
4.183552518486977,6177.0,0
4.233552519232035,6577.0,0
4.283552519977093,6887.0,0
4.333552520722151,7056.0,0
4.383552521467209,7061.0,0
4.433552522212267,7025.0,0
4.483552522957325,7232.0,0
4.533552523702383,7123.0,0
4.583552524447441,7020.0,0
4.633552525192499,7113.0,0
4.683552525937557,6955.0,0
4.733552526682615,7714.0,0
4.783552527427673,7609.0,0
4.833552528172731,7738.0,0
4.8835525289177895,7641.0,0
4.9335525296628475,7828.0,1
4.983552530407906,7493.0,0
5.033552531152964,8012.0,2
5.083552531898022,8193.0,1
5.13355253264308,8593.0,4
5.183552533388138,9406.0,3
5.233552534133196,10111.0,3
5.283552534878254,11717.0,6
5.333552535623312,13065.0,5
5.38355253636837,14181.0,8
5.433552537113428,15765.0,8
5.483552537858486,14979.0,7
5.533552538603544,14268.0,8
5.583552539348602,13871.0,10
5.63355254009366,13346.0,11
5.683552540838718,12938.0,9
5.7335525415837765,11005.0,9
5.7835525423288345,9647.0,5
5.833552543073893,8741.0,3
5.883552543818951,7894.0,2
5.933552544564009,4307.0,1
5.983552545309067,5948.0,2
6.033552546054125,4326.0,0
6.083552546799183,3996.0,0
6.133552547544241,4201.0,0
6.183552548289299,4498.0,0
6.233552549034357,4852.0,1
6.283552549779415,5050.0,0
6.333552550524473,5337.0,2
6.383552551269531,5391.0,0
6.433552552014589,5722.0,4
6.483552552759647,6471.0,4
6.533552553504705,6859.0,3
6.5835525542497635,7335.0,4
6.6335525549948215,5485.0,2
6.68355255573988,4433.0,0
6.733552556484938,4072.0,0
6.783552557229996,4284.0,0
6.833552557975054,4668.0,0
6.883552558720112,4885.0,0
6.93355255946517,5350.0,0
6.983552560210228,5500.0,0
7.033552560955286,6084.0,0
7.083552561700344,6429.0,0
7.133552562445402,7298.0,0
7.233552563935518,8859.0,0
7.283552564680576,9955.0,2
7.333552565425634,10624.0,5
7.383552566170692,11719.0,4
7.4335525669157505,13353.0,6
